,oficialista,opositor
ancestral,1,0
ancha,1,0
ancho,2,0
ancianita,0,1
anciano,1,1
ancianos,1,0
ancla,2,0
anclada,3,0
anclado,1,0
anclaje,0,1
and,1,1
anda,11,3
andaba,12,0
andaban,3,0
andan,7,0
andanada,0,1
andando,0,1
andar,9,1
andate,1,0
andes,0,1
androginia,1,0
andré,1,0
andrés,4,3
andrógina,1,0
andrógino,1,0
anduvieron,1,0
anduvimos,1,0
anduvo,0,1
andá,6,0
andás,3,0
anestesia,1,0
anestesiado,0,1
anexo,7,1
anfiteatrada,2,0
anfitriona,1,0
anfitrión,2,0
angel,0,2
angela,5,3
angelina,0,1
angelis,1,0
angelus,1,0
anglada,1,0
angurria,1,0
angurrienta,1,0
angustia,6,4
angustiada,1,0
angustias,1,0
anhela,0,1
anhelantes,1,0
anibal,0,3
anida,0,1
anillo,0,2
anillos,0,1
anima,6,2
animaba,1,0
animado,4,0
animados,0,1
animal,2,1
animaladamente,1,0
animaladas,1,0
animales,3,3
animalito,1,0
animan,2,0
animar,1,0
animarme,1,0
animaron,1,1
animarse,2,0
anime,0,1
animen,1,0
animo,1,0
animé,1,0
animó,2,0
aniquilamiento,1,0
aniquilar,1,0
aniquilen,1,0
anita,3,0
anoche,2,1
anomalía,0,1
anomia,1,0
anos,1,0
anota,0,2
